# Nutrition per 100 g of RAW product, plus the physical constants needed to turn
# "1 стакан" or "2 штуки" into grams.
#
# Values follow standard Russian food-composition references (Скурихин,
# "Химический состав российских пищевых продуктов"), cross-checked against USDA
# FoodData Central where a product has no Russian entry.
#
# Loaded by scripts/load_ingredient_nutrition.py, which matches on the
# normalised ingredient name. Editing a row and re-running updates the database;
# the file is the source of truth, not the table.
#
# density_g_per_ml and piece_grams may be empty — the generic tables in
# app/recipes/units.py then apply.
name,category,kcal_100,protein_100,fat_100,carb_100,density_g_per_ml,piece_grams
# --- мясо -------------------------------------------------------------------
говядина,мясо,187,18.9,12.4,0,,
телятина,мясо,97,19.7,2.0,0,,
свинина,мясо,259,16.0,21.6,0,,
свиные ребра,мясо,321,15.6,29.0,0,,
баранина,мясо,209,15.6,16.3,0,,
фарш,мясо,254,17.2,20.0,0,,
говяжий фарш,мясо,254,17.2,20.0,0,,
свиной фарш,мясо,263,17.0,21.0,0,,
бекон,мясо,500,23.0,45.0,0,,
ветчина,мясо,270,14.0,24.0,0,,
колбаса,мясо,301,12.0,28.0,0.5,,
сосиски,мясо,266,10.4,24.0,1.6,,50
печень,мясо,127,17.9,3.7,5.3,,
# --- птица ------------------------------------------------------------------
курица,птица,190,18.2,12.5,0,,
куриное филе,птица,113,23.6,1.9,0.4,,180
куриная грудка,птица,113,23.6,1.9,0.4,,250
куриное бедро,птица,185,16.8,13.4,0,,120
филе бедра цыпленка,птица,185,16.8,13.4,0,,120
куриные крылья,птица,186,19.2,12.2,0,,60
копченая курица,птица,184,27.5,8.2,0,,
индейка,птица,161,19.5,8.9,0,,
филе индейки,птица,104,19.2,3.0,0,,
филе грудки индейки,птица,104,19.2,3.0,0,,
утка,птица,308,16.5,27.0,0,,
# --- рыба и морепродукты ----------------------------------------------------
лосось,рыба,208,20.0,13.4,0,,
семга,рыба,201,20.0,13.0,0,,
форель,рыба,141,19.9,6.5,0,,
треска,рыба,78,17.7,0.7,0,,
филе трески,рыба,78,17.7,0.7,0,,
судак,рыба,84,18.4,1.1,0,,
минтай,рыба,72,15.9,0.9,0,,
палтус,рыба,103,18.9,3.0,0,,
сельдь,рыба,161,16.3,10.7,0,,
скумбрия,рыба,191,18.0,13.2,0,,
тунец,рыба,101,23.0,1.0,0,,
консервированный тунец,рыба,96,21.0,1.0,0,,
креветки,рыба,95,20.5,1.6,0,,
кальмары,рыба,92,18.0,2.2,0,,
мидии,рыба,77,11.5,2.0,3.3,,
икра,рыба,264,24.0,17.9,4.0,,
морская капуста,рыба,25,0.9,0.2,3.0,,
# --- яйца -------------------------------------------------------------------
куриное яйцо,яйца,157,12.7,11.5,0.7,,55
яйцо,яйца,157,12.7,11.5,0.7,,55
перепелиное яйцо,яйца,168,11.9,13.1,0.6,,12
яичный желток,яйца,352,16.2,31.2,1.0,,18
яичный белок,яйца,44,11.1,0,0,,35
# --- молочные продукты ------------------------------------------------------
молоко,молочка,60,3.0,3.2,4.7,1.03,
цельное молоко,молочка,60,3.0,3.2,4.7,1.03,
сливки,молочка,206,2.2,20.0,3.9,1.00,
сметана,молочка,206,2.8,20.0,3.2,1.00,
кефир,молочка,51,3.0,2.5,4.0,1.03,
йогурт,молочка,66,5.0,3.2,3.5,1.03,
натуральный йогурт,молочка,66,5.0,3.2,3.5,1.03,
обезжиренный йогурт,молочка,56,4.1,0.1,7.8,1.03,
творог,молочка,159,16.7,9.0,2.0,,
сливочное масло,молочка,748,0.5,82.5,0.8,0.91,
несоленое сливочное масло,молочка,748,0.5,82.5,0.8,0.91,
сыр,молочка,363,26.0,29.5,0,,
твердый сыр,молочка,363,26.0,29.5,0,,
сыр пармезан,молочка,392,33.0,28.0,0,,
тертый сыр пармезан,молочка,392,33.0,28.0,0,,
сыр моцарелла,молочка,280,22.0,22.0,2.2,,
сыр фета,молочка,264,14.2,21.3,4.1,,
козий сыр,молочка,290,21.6,21.7,0.7,,
сыр чеддер,молочка,392,23.0,32.0,0,,
плавленый сыр,молочка,290,16.0,23.0,4.0,,
рикотта,молочка,174,11.0,13.0,3.0,,
маскарпоне,молочка,412,4.8,42.0,4.8,,
# --- овощи ------------------------------------------------------------------
картофель,овощи,77,2.0,0.4,16.3,,100
репчатый лук,овощи,41,1.4,0.2,8.2,,80
лук,овощи,41,1.4,0.2,8.2,,80
красный лук,овощи,42,1.4,0.1,9.0,,80
зеленый лук,овощи,20,1.3,0.1,3.2,,
лук-порей,овощи,36,2.0,0.2,6.3,,200
лук-шалот,овощи,72,2.5,0.1,16.8,,30
желтый лук,овощи,41,1.4,0.2,8.2,,80
чеснок,овощи,143,6.5,0.5,29.9,,40
морковь,овощи,35,1.3,0.1,6.9,,75
помидоры,овощи,20,1.1,0.2,3.7,,120
помидоры черри,овощи,20,1.1,0.2,3.7,,15
красные помидоры черри,овощи,20,1.1,0.2,3.7,,15
огурцы,овощи,15,0.8,0.1,2.5,,100
сладкий перец,овощи,27,1.3,0.1,5.3,,150
болгарский перец,овощи,27,1.3,0.1,5.3,,150
перец чили,овощи,40,1.9,0.4,7.3,,15
баклажаны,овощи,24,1.2,0.1,4.5,,250
цукини,овощи,24,1.5,0.3,3.0,,300
кабачки,овощи,24,0.6,0.3,4.6,,300
капуста,овощи,28,1.8,0.1,4.7,,1500
цветная капуста,овощи,30,2.5,0.3,4.2,,800
брокколи,овощи,34,3.0,0.4,5.2,,400
пекинская капуста,овощи,16,1.2,0.2,2.0,,800
свекла,овощи,42,1.5,0.1,8.8,,200
тыква,овощи,22,1.0,0.1,4.4,,2000
сельдерей,овощи,13,0.9,0.1,2.1,,
стебель сельдерея,овощи,13,0.9,0.1,2.1,,40
корень сельдерея,овощи,32,1.3,0.3,6.5,,400
редис,овощи,20,1.2,0.1,3.4,,15
редька,овощи,36,1.9,0.2,6.7,,200
